"Locus"	"start.x"	"end"	"strand"	"product_accession"	"Product"	"feature_interval_length"	"product_length"	"GO"	"GO_terms"	"Enzyme.Codes.list"	"Description"	"start.y"
"Ccel_1986"	2351290	2352825	"-"	"ACL76334.1"	"ABC transporter related"	1536	511	2	"F:ATPase activity; F:ATP binding"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"---NA---"	2351290
"Ccel_1987"	2352953	2354089	"-"	"ACL76335.1"	"putative solute-binding component of ABC transporter"	1137	378	NA	NA	""	"---NA---"	2352953
"Ccel_1988"	2354358	2355695	"-"	"ACL76336.1"	"glycosyl transferase family 2"	1338	445	NA	NA	""	"---NA---"	2354358
"Ccel_1989"	2355881	2356513	"-"	"ACL76337.1"	"thiamine-phosphate pyrophosphorylase"	633	210	2	"F:thiamine-phosphate diphosphorylase activity; P:thiamine biosynthetic process"	"EC:2.5.1.3"	"---NA---"	2355881
"Ccel_1990"	2356503	2357324	"-"	"ACL76338.1"	"hydroxyethylthiazole kinase"	822	273	2	"F:hydroxyethylthiazole kinase activity; P:thiamine biosynthetic process"	"EC:2.7.1.50"	"---NA---"	2356503
"Ccel_1991"	2357340	2358650	"-"	"ACL76339.1"	"thiamine biosynthesis protein ThiC"	1311	436	2	"F:iron-sulfur cluster binding; P:thiamine biosynthetic process"	""	"---NA---"	2357340
"Ccel_1992"	2358647	2359459	"-"	"ACL76340.1"	"phosphomethylpyrimidine kinase"	813	270	2	"F:phosphomethylpyrimidine kinase activity; P:thiamine biosynthetic process"	"EC:2.7.4.7"	"---NA---"	2358647
"Ccel_1993"	2359702	2359845	"-"	"ACL76341.1"	"hypothetical protein"	144	47	NA	NA	""	"---NA---"	2359702
"Ccel_1994"	2359907	2360884	"-"	"ACL76342.1"	"tocopherol cyclase family protein"	978	325	2	"P:metabolic process; F:tocopherol cyclase activity"	""	"tocopherol cyclase family"	2359907
"Ccel_1995"	2360944	2361384	"-"	"ACL76343.1"	"ferric uptake regulator, Fur family"	441	146	6	"F:DNA binding; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; F:metal ion binding; P:regulation of transcription, DNA-templated; P:regulation of transcription, DNA-templated"	""	"transcriptional repressor"	2360944
"Ccel_1996"	2361398	2361556	"-"	"ACL76344.1"	"hypothetical protein"	159	52	NA	NA	""	"hypothetical protein Ccel_1996 ["	2361398
"Ccel_1997"	2361574	2363397	"-"	"ACL76345.1"	"small GTP-binding protein"	1824	607	6	"F:GTP binding; P:iron ion homeostasis; C:integral component of membrane; P:ferrous iron transmembrane transport; F:ferrous iron transmembrane transporter activity; C:plasma membrane"	""	"ferrous iron transporter B"	2361574
"Ccel_1998"	2363432	2363653	"-"	"ACL76346.1"	"FeoA family protein"	222	73	1	"F:transition metal ion binding"	""	"iron transporter"	2363432
"Ccel_1999"	2363771	2363956	"-"	"ACL76347.1"	"uncharacterized protein contains CXXC motif"	186	61	NA	NA	""	"uracil-DNA glycosylase"	2363771
"Ccel_2000"	2364301	2364525	"+"	"ACL76348.1"	"hypothetical protein"	225	74	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2364301
"Ccel_2001"	2364565	2365497	"-"	"ACL76349.1"	"Mg2 transporter protein CorA family protein"	933	310	4	"P:transmembrane transport; C:integral component of membrane; F:metal ion transmembrane transporter activity; P:metal ion transport"	""	"magnesium transporter"	2364565
"Ccel_2003"	2365966	2366433	"-"	"ACL76350.1"	"6,7-dimethyl-8-ribityllumazine synthase"	468	155	4	"F:6,7-dimethyl-8-ribityllumazine synthase activity; P:riboflavin biosynthetic process; F:transferase activity; C:riboflavin synthase complex"	"EC:5.4"	"6,7-dimethyl-8-ribityllumazine synthase"	2365966
"Ccel_2004"	2366423	2367685	"-"	"ACL76351.1"	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	1263	420	7	"F:magnesium ion binding; F:GTP binding; F:zinc ion binding; F:GTP cyclohydrolase II activity; P:riboflavin biosynthetic process; F:3,4-dihydroxy-2-butanone-4-phosphate synthase activity; F:manganese ion binding"	"EC:3.5.4; EC:3.5.4.25; EC:4.1.99.12"	"bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase GTP cyclohydrolase II"	2366423
"Ccel_2005"	2367713	2368369	"-"	"ACL76352.1"	"riboflavin synthase, alpha subunit"	657	218	5	"F:riboflavin synthase activity; F:oxidoreductase activity; P:riboflavin biosynthetic process; P:oxidation-reduction process; C:riboflavin synthase complex"	"EC:2.5.1.9"	"riboflavin synthase subunit alpha"	2367713
"Ccel_2006"	2368390	2369493	"-"	"ACL76353.1"	"riboflavin biosynthesis protein RibD"	1104	367	6	"F:zinc ion binding; F:NADP binding; F:5-amino-6-(5-phosphoribosylamino)uracil reductase activity; F:diaminohydroxyphosphoribosylaminopyrimidine deaminase activity; P:riboflavin biosynthetic process; P:oxidation-reduction process"	"EC:3.5.4.26; EC:1.1.1.193"	"riboflavin biosynthesis"	2368390
"Ccel_2007"	2369950	2371191	"+"	"ACL76354.1"	"UMUC domain protein DNA-repair protein"	1242	413	8	"F:magnesium ion binding; P:DNA repair; F:DNA-directed DNA polymerase activity; C:cytoplasm; P:DNA-dependent DNA replication; P:DNA biosynthetic process; C:DNA polymerase complex; F:damaged DNA binding"	"EC:2.7.7.7"	"DNA polymerase IV"	2369950
"Ccel_2008"	2371202	2371435	"+"	"ACL76355.1"	"conserved hypothetical protein"	234	77	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2371202
"Ccel_2009"	NA	NA	NA	NA	NA	NA	NA	3	"P:self proteolysis; P:polysaccharide catabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds"	""	"RHS repeat-associated core domain-containing"	NA
"Ccel_2010"	2371904	2372188	"+"	"ACL76356.1"	"transposase IS3/IS911 family protein"	285	94	3	"F:DNA binding; F:transposase activity; P:transposition, DNA-mediated"	""	"transposase"	2371904
"Ccel_2011"	2372236	2373048	"+"	"ACL76357.1"	"Integrase catalytic region"	813	270	2	"F:nucleic acid binding; P:DNA integration"	""	"Integrase catalytic region [[Clostridium] cellulolyticum H10]"	2372236
"Ccel_2012"	2373103	2374347	"-"	"ACL76358.1"	"Parallel beta-helix repeat protein"	1245	414	1	"P:metabolic process"	""	"parallel beta-helix repeat partial"	2373103
"Ccel_2013"	2374548	2375168	"+"	"ACL76359.1"	"protein of unknown function DUF159"	621	206	NA	NA	""	"DUF159 family"	2374548
"Ccel_2014"	2375275	2376219	"-"	"ACL76360.1"	"conserved hypothetical protein"	945	314	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2375275
"Ccel_2015"	2376250	2376636	"-"	"ACL76361.1"	"conserved hypothetical protein"	387	128	NA	NA	""	"VOC family"	2376250
"Ccel_2016"	2376745	2377584	"-"	"ACL76362.1"	"transcriptional regulator, AraC family"	840	279	5	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"transcriptional family"	2376745
"Ccel_2017"	2377760	2378671	"-"	"ACL76363.1"	"lipolytic protein G-D-S-L family"	912	303	2	"P:polysaccharide catabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds"	""	"dockerin [[Clostridium] papyrosolvens]"	2377760
"Ccel_2018"	2379161	2379691	"-"	"ACL76364.1"	"hypothetical protein"	531	176	3	"P:metabolic process; C:integral component of membrane; F:lyase activity"	""	"ABC transporter substrate-binding [[Clostridium] cellulolyticum]"	2379161
"Ccel_2019"	2379737	2380375	"-"	"ACL76365.1"	"hypothetical protein"	639	212	3	"F:DNA binding; C:integral component of membrane; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator [[Clostridium] cellulolyticum]"	2379737
"Ccel_2020"	2380406	2380687	"-"	"ACL76366.1"	"conserved hypothetical protein"	282	93	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2380406
"Ccel_2021"	2380780	2382171	"-"	"ACL76367.1"	"protein of unknown function DUF342"	1392	463	2	"P:metabolic process; F:hydrolase activity"	""	"polymerase with PALM HD hydrolase domain and Zn ribbon"	2380780
"Ccel_2022"	2382182	2382946	"-"	"ACL76368.1"	"RNA polymerase, sigma 28 subunit, FliA/WhiG"	765	254	12	"F:DNA binding; F:sigma factor activity; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:pyrimidine nucleobase metabolic process; F:DNA-directed RNA polymerase activity; P:regulation of transcription, DNA-templated; P:DNA-templated transcription, initiation; P:purine nucleobase metabolic process; P:regulation of transcription, DNA-templated; C:nucleolus; P:sporulation resulting in formation of a cellular spore"	"EC:2.7.7.6"	"RNA polymerase sigma factor"	2382182
"Ccel_2023"	2382989	2383363	"-"	"ACL76369.1"	"conserved hypothetical protein"	375	124	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2382989
"Ccel_2024"	2383427	2383915	"-"	"ACL76370.1"	"CheD"	489	162	4	"P:chemotaxis; P:nitrogen compound metabolic process; C:integral component of membrane; F:protein-glutamine glutaminase activity"	"EC:3.5.1.44"	"chemotaxis"	2383427
"Ccel_2025"	2383915	2384532	"-"	"ACL76371.1"	"CheC, inhibitor of MCP methylation"	618	205	2	"P:metabolic process; F:hydrolase activity"	""	""	2383915
"Ccel_2026"	2384566	2385012	"-"	"ACL76372.1"	"CheW protein"	447	148	3	"P:chemotaxis; P:signal transduction; F:signal transducer activity"	""	"chemotaxis"	2384566
"Ccel_2027"	2385148	2387223	"-"	"ACL76373.1"	"CheA signal transduction histidine kinase"	2076	691	9	"F:phosphorelay sensor kinase activity; F:ATP binding; P:chemotaxis; C:protein histidine kinase complex; C:cytoplasm; P:movement of cell or subcellular component; P:phosphorelay signal transduction system; P:signal transduction by protein phosphorylation; P:peptidyl-histidine phosphorylation"	"EC:2.7.3; EC:2.7.13.3"	"chemotaxis ["	2385148
"Ccel_2028"	2387225	2388295	"-"	"ACL76374.1"	"response regulator receiver modulated CheB methylesterase"	1071	356	6	"P:chemotaxis; C:cytoplasm; P:phosphorelay signal transduction system; F:protein-glutamate methylesterase activity; P:regulation of transcription, DNA-templated; F:phosphorelay response regulator activity"	"EC:3.1.1.61; EC:3.1.1.1"	"chemotaxis response regulator -glutamate methylesterase"	2387225
"Ccel_2029"	2388471	2389376	"-"	"ACL76375.1"	"Cobyrinic acid ac-diamide synthase"	906	301	1	"F:ATP binding"	""	"ATP-binding ["	2388471
"Ccel_2030"	2389378	2390547	"-"	"ACL76376.1"	"GTP-binding signal recognition particle SRP54 G- domain protein"	1170	389	8	"F:GTP binding; F:ATP binding; C:motile cilium; P:SRP-dependent cotranslational protein targeting to membrane; F:GTPase activity; P:bacterial-type flagellum organization; C:intracellular; C:plasma membrane"	"EC:3.6.1; EC:3.6.1.15"	"flagellar biosynthesis"	2389378
"Ccel_2031"	2390593	2392617	"-"	"ACL76377.1"	"flagellar biosynthesis protein FlhA"	2025	674	4	"C:motile cilium; P:bacterial-type flagellum assembly; C:integral component of membrane; P:protein secretion"	""	"flagellar biosynthesis"	2390593
"Ccel_2032"	2392653	2393798	"-"	"ACL76378.1"	"flagellar biosynthetic protein FlhB"	1146	381	4	"C:motile cilium; P:bacterial-type flagellum assembly; C:integral component of membrane; P:protein secretion"	""	"flagellar biosynthesis"	2392653
"Ccel_2033"	2393831	2394628	"-"	"ACL76379.1"	"flagellar biosynthetic protein FliR"	798	265	6	"P:protein targeting; C:motile cilium; P:bacterial-type flagellum assembly; C:integral component of membrane; C:plasma membrane; C:bacterial-type flagellum basal body"	""	"flagellar biosynthesis"	2393831
"Ccel_2034"	2394646	2394915	"-"	"ACL76380.1"	"flagellar biosynthetic protein FliQ"	270	89	4	"C:motile cilium; P:bacterial-type flagellum assembly; C:integral component of membrane; P:protein secretion"	""	"flagellar biosynthetic"	2394646
"Ccel_2035"	2394989	2395789	"-"	"ACL76381.1"	"flagellar biosynthetic protein FliP"	801	266	6	"C:motile cilium; P:bacterial-type flagellum organization; C:integral component of membrane; P:protein secretion; C:plasma membrane; C:bacterial-type flagellum basal body"	""	"flagellar biosynthetic ["	2394989
"Ccel_2036"	2395782	2396252	"-"	"ACL76382.1"	"hypothetical protein"	471	156	3	"C:motile cilium; P:bacterial-type flagellum organization; C:integral component of membrane"	""	"flagellar biogenesis ["	2395782
"Ccel_2037"	2396437	2396799	"-"	"ACL76383.1"	"response regulator receiver protein"	363	120	3	"F:DNA binding; P:phosphorelay signal transduction system; C:intracellular"	""	"response regulator"	2396437
"Ccel_2038"	2396836	2398044	"-"	"ACL76384.1"	"CheC, inhibitor of MCP methylation / FliN fusion protein"	1209	402	7	"P:chemotaxis; C:motile cilium; C:membrane; P:metabolic process; P:bacterial-type flagellum-dependent cell motility; C:bacterial-type flagellum basal body; F:motor activity"	"EC:3.6.1; EC:3.6.1.15"	"flagellar motor switch phosphatase"	2396836
"Ccel_2039"	2398045	2399031	"-"	"ACL76385.1"	"flagellar motor switch protein FliM"	987	328	5	"C:motile cilium; P:metabolic process; P:bacterial-type flagellum-dependent cell motility; C:bacterial-type flagellum basal body; F:motor activity"	"EC:3.6.1; EC:3.6.1.15"	"flagellar motor switch"	2398045
"Ccel_2040"	2399044	2399553	"-"	"ACL76386.1"	"flagellar basal body-associated protein FliL"	510	169	5	"P:chemotaxis; C:motile cilium; C:integral component of membrane; P:bacterial-type flagellum-dependent cell motility; C:bacterial-type flagellum basal body"	""	"flagellar basal body-associated ["	2399044
"Ccel_2041"	2399653	2399850	"-"	"ACL76387.1"	"flagellar FlbD family protein"	198	65	1	"C:motile cilium"	""	"flagellar family"	2399653
"Ccel_2042"	2399980	2401344	"-"	"ACL76388.1"	"protein of unknown function DUF1078 domain protein"	1365	454	3	"C:motile cilium; P:bacterial-type flagellum-dependent cell motility; C:bacterial-type flagellum basal body"	""	"flagellar hook"	2399980
"Ccel_2043"	2401446	2401847	"-"	"ACL76389.1"	"flagellar operon protein"	402	133	1	"C:motile cilium"	""	"flagellar operon"	2401446
"Ccel_2044"	2401887	2402744	"-"	"ACL76390.1"	"flagellar hook capping protein"	858	285	2	"C:motile cilium; P:bacterial-type flagellum organization"	""	"flagellar hook capping"	2401887
"Ccel_2045"	2402759	2404291	"-"	"ACL76391.1"	"flagellar hook-length control protein"	1533	510	1	"C:motile cilium"	""	"flagellar hook-length control ["	2402759
"Ccel_2046"	2404362	2405231	"-"	"ACL76392.1"	"conserved hypothetical protein"	870	289	1	"C:integral component of membrane"	""	"intracellular region [Ruminiclostridium thermocellum AD2]"	2404362
"Ccel_2047"	2405215	2405682	"-"	"ACL76393.1"	"flagellar export protein FliJ"	468	155	3	"C:motile cilium; C:bacterial-type flagellum; P:bacterial-type flagellum-dependent cell motility"	""	"flagellar export"	2405215
"Ccel_2048"	2405699	2407012	"-"	"ACL76394.1"	"ATPase FliI/YscN"	1314	437	11	"F:ATP binding; C:motile cilium; P:oxidative phosphorylation; P:bacterial-type flagellum assembly; C:cytoplasm; P:hydrogen ion transmembrane transport; F:proton-transporting ATPase activity, rotational mechanism; P:protein secretion by the type III secretion system; P:bacterial-type flagellum-dependent cell motility; C:type III protein secretion system complex; P:ATP biosynthetic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"flagellar export ATPase"	2405699
"Ccel_2049"	2407045	2407821	"-"	"ACL76395.1"	"flagellar assembly protein FliH"	777	258	1	"C:motile cilium"	""	"flagellar assembly ["	2407045
"Ccel_2050"	2407814	2408841	"-"	"ACL76396.1"	"flagellar motor switch protein FliG"	1029	342	NA	NA	NA	NA	2407814
"Ccel_2051"	2408859	2410430	"-"	"ACL76397.1"	"flagellar M-ring protein FliF"	1572	523	6	"C:motile cilium; C:bacterial-type flagellum basal body, MS ring; P:metabolic process; C:integral component of membrane; P:bacterial-type flagellum-dependent cell motility; F:motor activity"	"EC:3.6.1; EC:3.6.1.15"	"flagellar M-ring ["	2408859
"Ccel_2052"	2410535	2410843	"-"	"ACL76398.1"	"flagellar hook-basal body complex subunit FliE"	309	102	6	"C:motile cilium; P:metabolic process; F:structural molecule activity; P:bacterial-type flagellum-dependent cell motility; C:bacterial-type flagellum basal body; F:motor activity"	"EC:3.6.1; EC:3.6.1.15"	"flagellar hook-basal body"	2410535
"Ccel_2053"	2410884	2411327	"-"	"ACL76399.1"	"flagellar basal-body rod protein FlgC"	444	147	3	"C:motile cilium; C:bacterial-type flagellum basal body, rod; P:bacterial-type flagellum-dependent cell motility"	""	"flagellar basal body rod"	2410884
"Ccel_2054"	2411330	2411743	"-"	"ACL76400.1"	"flagellar basal-body rod protein FlgB"	414	137	3	"C:motile cilium; C:bacterial-type flagellum basal body, rod; P:bacterial-type flagellum-dependent cell motility"	""	"flagellar basal-body rod"	2411330
"Ccel_2055"	2411881	2413191	"-"	"ACL76401.1"	"gid protein"	1311	436	6	"F:methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity; C:cytoplasm; F:oxidoreductase activity; F:flavin adenine dinucleotide binding; P:tRNA processing; P:oxidation-reduction process"	"EC:2.1.1.74"	"---NA---"	2411881
"Ccel_2056"	2413347	2415467	"-"	"ACL76402.1"	"DNA topoisomerase I"	2121	706	4	"F:DNA binding; F:DNA topoisomerase type I activity; C:chromosome; P:DNA topological change"	"EC:5.99.1; EC:5.99.1.2"	"---NA---"	2413347
"Ccel_2057"	2415617	2416741	"-"	"ACL76403.1"	"DNA protecting protein DprA"	1125	374	1	"P:DNA mediated transformation"	""	"---NA---"	2415617
"Ccel_2058"	2416753	2418282	"-"	"ACL76404.1"	"Mg chelatase, subunit ChlI"	1530	509	3	"F:DNA binding; F:ATP binding; P:DNA replication"	""	"---NA---"	2416753
"Ccel_2059"	2418478	2418942	"-"	"ACL76405.1"	"ATP-cone domain protein"	465	154	2	"F:zinc ion binding; P:negative regulation of transcription, DNA-templated"	""	"---NA---"	2418478
"Ccel_2060"	2419035	2419295	"-"	"ACL76406.1"	"sporulation protein, YlmC/YmxH family"	261	86	NA	NA	""	"---NA---"	2419035
"Ccel_2061"	2419387	2420160	"-"	"ACL76407.1"	"RNA polymerase, sigma 28 subunit, SigG"	774	257	8	"F:DNA binding; F:sigma factor activity; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:DNA-templated transcription, initiation; P:regulation of transcription, DNA-templated; P:sporulation resulting in formation of a cellular spore"	""	"---NA---"	2419387
"Ccel_2062"	2420297	2421028	"-"	"ACL76408.1"	"RNA polymerase, sigma 28 subunit, SigE"	732	243	8	"F:DNA binding; F:sigma factor activity; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:DNA-templated transcription, initiation; P:regulation of transcription, DNA-templated; P:sporulation resulting in formation of a cellular spore"	""	"---NA---"	2420297
"Ccel_2063"	2421069	2421968	"-"	"ACL76409.1"	"sigma-E processing peptidase SpoIIGA"	900	299	3	"P:asexual sporulation; F:aspartic-type endopeptidase activity; P:proteolysis"	"EC:3.4.23"	"---NA---"	2421069
"Ccel_2064"	2422211	2423353	"-"	"ACL76410.1"	"cell division protein FtsZ"	1143	380	2	"F:GTP binding; F:GTPase activity"	"EC:3.6.1; EC:3.6.1.15"	"---NA---"	2422211
"Ccel_2065"	2423511	2424755	"-"	"ACL76411.1"	"cell division protein FtsA"	1245	414	2	"F:protein binding; P:cell cycle"	""	"---NA---"	2423511
"Ccel_2066"	2424808	2425170	"-"	"ACL76412.1"	"protein of unknown function DUF1290"	363	120	NA	NA	""	"---NA---"	2424808
"Ccel_2067"	2425210	2426049	"-"	"ACL76413.1"	"Polypeptide-transport-associated domain protein FtsQ-type"	840	279	NA	NA	""	"---NA---"	2425210
"Ccel_2069"	2427161	2428564	"+"	"ACL76414.1"	"domain of unknown function DUF1727"	1404	467	2	"F:ATP binding; P:biosynthetic process"	""	"---NA---"	2427161
"Ccel_2070"	2428567	2429313	"+"	"ACL76415.1"	"CobB/CobQ domain protein glutamine amidotransferase"	747	248	3	"P:glutamine metabolic process; P:cobalamin biosynthetic process; F:transferase activity"	""	"glutamine amidotransferase"	2428567
"Ccel_2071"	2429744	2430757	"+"	"ACL76416.1"	"phospho-2-dehydro-3-deoxyheptonate aldolase"	1014	337	5	"F:aldehyde-lyase activity; P:L-phenylalanine biosynthetic process; P:tryptophan biosynthetic process; P:tyrosine biosynthetic process; F:3-deoxy-7-phosphoheptulonate synthase activity"	"EC:2.5.1.54"	"3-deoxy-7-phosphoheptulonate synthase"	2429744
"Ccel_2072"	2430828	2431175	"-"	"ACL76417.1"	"hypothetical protein"	348	115	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2430828
"Ccel_2073"	2431233	2431820	"-"	"ACL76418.1"	"Lytic transglycosylase catalytic"	588	195	1	"C:integral component of membrane"	""	"lytic transglycosylase"	2431233
"Ccel_2074"	2431817	2432428	"-"	"ACL76419.1"	"dephospho-CoA kinase"	612	203	6	"P:pantothenate biosynthetic process; F:ATP binding; C:cytoplasm; F:dephospho-CoA kinase activity; P:coenzyme A biosynthetic process; P:phosphorylation"	"EC:2.7.1.24"	"dephospho- kinase"	2431817
"Ccel_2075"	2432415	2435105	"-"	"ACL76420.1"	"DNA polymerase I"	2691	896	7	"F:DNA binding; F:3'-5' exonuclease activity; P:nucleic acid phosphodiester bond hydrolysis; F:DNA-directed DNA polymerase activity; P:DNA-dependent DNA replication; P:DNA biosynthetic process; C:DNA polymerase complex"	"EC:3.1; EC:2.7.7.7"	"DNA polymerase I"	2432415
"Ccel_2076"	2435121	2436275	"-"	"ACL76421.1"	"putative transmembrane anti-sigma factor"	1155	384	1	"C:integral component of membrane"	""	"anti-sigma factor"	2435121
"Ccel_2077"	2436296	2436889	"-"	"ACL76422.1"	"RNA polymerase, sigma-24 subunit, ECF subfamily"	594	197	7	"F:DNA binding; F:sigma factor activity; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:DNA-templated transcription, initiation; P:regulation of transcription, DNA-templated"	""	"RNA polymerase subunit sigma-24 ["	2436296
"Ccel_2078"	2437671	2437940	"-"	"ACL76423.1"	"Coat F domain protein"	270	89	1	"C:viral capsid"	""	"coat F"	2437671
"Ccel_2079"	2437953	2438150	"-"	"ACL76424.1"	"conserved hypothetical protein"	198	65	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2437953
"Ccel_2080"	2438409	2439752	"+"	"ACL76425.1"	"potassium uptake protein, TrkH family"	1344	447	5	"P:potassium ion transmembrane transport; P:metabolic process; C:integral component of membrane; F:potassium ion symporter activity; F:hydrolase activity"	""	"ATP synthase subunit J"	2438409
"Ccel_2081"	2439814	2441040	"-"	"ACL76426.1"	"tyrosyl-tRNA synthetase"	1227	408	8	"F:tyrosine-tRNA ligase activity; F:ATP binding; P:tyrosyl-tRNA aminoacylation; F:RNA binding; P:L-phenylalanine biosynthetic process; P:tryptophan biosynthetic process; C:cytoplasm; P:tyrosine biosynthetic process"	"EC:6.1.1.1; EC:6.1.1"	"tyrosine--tRNA ligase"	2439814
"Ccel_2082"	2441368	2442024	"-"	"ACL76427.1"	"TrkA-N domain protein"	657	218	3	"F:potassium ion transmembrane transporter activity; P:potassium ion transmembrane transport; C:plasma membrane"	""	"potassium transporter"	2441368
"Ccel_2083"	2442026	2442658	"-"	"ACL76428.1"	"TrkA-N domain protein"	633	210	3	"F:potassium ion transmembrane transporter activity; P:potassium ion transmembrane transport; C:plasma membrane"	""	"potassium transporter"	2442026
"Ccel_2084"	2442982	2443668	"+"	"ACL76429.1"	"protein of unknown function DUF421"	687	228	1	"C:integral component of membrane"	""	"DUF421 domain-containing"	2442982
"Ccel_2085"	2443674	2444066	"+"	"ACL76430.1"	"conserved hypothetical protein"	393	130	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2443674
"Ccel_2086"	2444069	2445076	"-"	"ACL76431.1"	"sodium/calcium exchanger membrane region"	1008	335	2	"P:transmembrane transport; C:integral component of membrane"	""	"membrane ["	2444069
"Ccel_2087"	2445332	2446672	"-"	"ACL76432.1"	"major facilitator superfamily MFS_1"	1341	446	2	"P:transmembrane transport; C:integral component of membrane"	""	"MFS transporter ["	2445332
"Ccel_2088"	2446753	2447532	"-"	"ACL76433.1"	"hypothetical protein"	780	259	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2446753
"Ccel_2089"	2447683	2448423	"-"	"ACL76434.1"	"short-chain dehydrogenase/reductase SDR"	741	246	5	"C:fatty acid synthase complex; P:acyl-carrier-protein biosynthetic process; F:3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; P:oxidation-reduction process; P:fatty acid biosynthetic process"	"EC:2.3.1.85; EC:1.1.1.100"	"3-ketoacyl-ACP reductase"	2447683
"Ccel_2090"	2448465	2449043	"-"	"ACL76435.1"	"ThiJ/PfpI domain protein"	579	192	2	"P:proteolysis; F:peptidase activity"	""	"thiamine biosynthesis"	2448465
"Ccel_2091"	2449056	2449307	"-"	"ACL76436.1"	"protein of unknown function UPF0153"	252	83	3	"P:proteolysis; F:peptidase activity; F:transferase activity"	""	"ase inhibitor"	2449056
"Ccel_2092"	2449341	2449805	"-"	"ACL76437.1"	"adenylate cyclase"	465	154	3	"F:nucleotide binding; F:ATPase activity; F:triphosphatase activity"	"EC:3.6.1.25; EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"adenylate cyclase"	2449341
"Ccel_2093"	2449935	2450378	"-"	"ACL76438.1"	"GatB/Yqey domain protein"	444	147	3	"P:metabolic process; F:transferase activity; F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	""	"gatB domain"	2449935
"Ccel_2094"	2450420	2450596	"-"	"ACL76439.1"	"ribosomal protein S21"	177	58	4	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; P:translation"	""	"30S ribosomal S21"	2450420
"Ccel_2095"	2450803	2451147	"-"	"ACL76440.1"	"histidine triad (HIT) protein"	345	114	2	"P:metabolic process; F:hydrolase activity"	""	"histidine triad nucleotide-binding"	2450803
"Ccel_2096"	2451176	2453815	"-"	"ACL76441.1"	"alanyl-tRNA synthetase"	2640	879	8	"F:ATP binding; F:zinc ion binding; C:cytoplasm; F:alanine-tRNA ligase activity; P:alanyl-tRNA aminoacylation; P:aspartate metabolic process; F:tRNA binding; P:alanine metabolic process"	"EC:6.1.1.7; EC:6.1.1"	"alanine--tRNA ligase ["	2451176
"Ccel_2097"	2454156	2454821	"-"	"ACL76442.1"	"HAD-superfamily hydrolase, subfamily IA, variant 3"	666	221	3	"F:phosphoglycolate phosphatase activity; P:glyoxylate metabolic process; P:dephosphorylation"	"EC:3.1.3.18; EC:3.1; EC:3.1.3.41"	"haloacid dehalogenase"	2454156
"Ccel_2098"	2455014	2456216	"+"	"ACL76443.1"	"arginine biosynthesis bifunctional protein ArgJ"	1203	400	6	"F:glutamate N-acetyltransferase activity; P:acyl-carrier-protein biosynthetic process; P:arginine biosynthetic process; C:cytoplasm; P:obsolete urea cycle intermediate metabolic process; F:acetyl-CoA:L-glutamate N-acetyltransferase activity"	"EC:2.3.1.1; EC:2.3.1; EC:2.3.1.35"	"bifunctional ornithine acetyltransferase N-acetylglutamate synthase"	2455014
"Ccel_2099"	2456288	2456707	"+"	"ACL76444.1"	"CheW protein"	420	139	3	"P:chemotaxis; P:signal transduction; F:signal transducer activity"	""	"purine-binding chemotaxis"	2456288
"Ccel_2100"	2456773	2458803	"-"	"ACL76445.1"	"methyl-accepting chemotaxis sensory transducer"	2031	676	3	"P:signal transduction; C:integral component of membrane; F:signal transducer activity"	""	"methyl-accepting chemotaxis"	2456773
