start	end	strand	product_accession	Product	Locus	feature_interval_length	product_length
779675	781324	+	ACL75055.1	integral membrane protein MviN	Ccel_0675	1650	549
1986168	1987007	-	ACL75998.1	Integral membrane protein TerC	Ccel_1647	840	279
2679016	2679876	-	ACL76634.1	Integral membrane protein TerC	Ccel_2297	861	286
234187	234987	+	ACL74595.1	Integrase catalytic region	Ccel_0208	801	266
249891	250937	-	ACL74607.1	Integrase catalytic region	Ccel_0220	1047	348
391180	392226	+	ACL74724.1	Integrase catalytic region	Ccel_0338	1047	348
466412	467458	+	ACL74793.1	Integrase catalytic region	Ccel_0409	1047	348
679000	680046	-	ACL74967.1	Integrase catalytic region	Ccel_0586	1047	348
681219	682265	+	ACL74970.1	Integrase catalytic region	Ccel_0589	1047	348
943381	944427	+	ACL75201.1	Integrase catalytic region	Ccel_0823	1047	348
1082538	1083338	+	ACL75277.1	Integrase catalytic region	Ccel_0905	801	266
1095197	1096243	-	ACL75287.1	Integrase catalytic region	Ccel_0919	1047	348
1425853	1426653	+	ACL75520.1	Integrase catalytic region	Ccel_1163	801	266
1481714	1482514	+	ACL75566.1	Integrase catalytic region	Ccel_1209	801	266
1493189	1494235	-	ACL75576.1	Integrase catalytic region	Ccel_1220	1047	348
1676819	1677619	+	ACL75732.1	Integrase catalytic region	Ccel_1378	801	266
1702217	1703263	-	ACL75754.1	Integrase catalytic region	Ccel_1400	1047	348
1795899	1796945	-	ACL75832.1	Integrase catalytic region	Ccel_1479	1047	348
1801077	1801889	-	ACL75837.1	Integrase catalytic region	Ccel_1484	813	270
1908983	1909795	-	ACL75911.1	Integrase catalytic region	Ccel_1559	813	270
1918837	1919637	-	ACL75925.1	Integrase catalytic region	Ccel_1573	801	266
1926150	1926950	-	ACL75936.1	Integrase catalytic region	Ccel_1584	801	266
1933463	1934263	-	ACL75947.1	Integrase catalytic region	Ccel_1595	801	266
2177909	2178955	+	ACL76170.1	Integrase catalytic region	Ccel_1821	1047	348
2179709	2180521	-	ACL76172.1	Integrase catalytic region	Ccel_1823	813	270
2183312	2184124	+	ACL76178.1	Integrase catalytic region	Ccel_1829	813	270
2186079	2187125	+	ACL76181.1	Integrase catalytic region	Ccel_1832	1047	348
2193208	2194254	-	ACL76186.1	Integrase catalytic region	Ccel_1838	1047	348
2201539	2202585	+	ACL76198.1	Integrase catalytic region	Ccel_1850	1047	348
2372236	2373048	+	ACL76357.1	Integrase catalytic region	Ccel_2011	813	270
2516985	2518031	+	ACL76492.1	Integrase catalytic region	Ccel_2149	1047	348
2525335	2526135	-	ACL76496.1	Integrase catalytic region	Ccel_2154	801	266
2572167	2572979	-	ACL76541.1	Integrase catalytic region	Ccel_2199	813	270
2795431	2796231	-	ACL76704.1	Integrase catalytic region	Ccel_2371	801	266
3075788	3076834	+	ACL76879.1	Integrase catalytic region	Ccel_2551	1047	348
3077491	3078537	-	ACL76881.1	Integrase catalytic region	Ccel_2553	1047	348
3225140	3226186	+	ACL76997.1	Integrase catalytic region	Ccel_2676	1047	348
3232688	3233734	+	ACL77002.1	Integrase catalytic region	Ccel_2685	1047	348
3239373	3240419	-	ACL77007.1	Integrase catalytic region	Ccel_2690	1047	348
3242081	3243127	-	ACL77008.1	Integrase catalytic region	Ccel_2693	1047	348
3260928	3261974	-	ACL77019.1	Integrase catalytic region	Ccel_2708	1047	348
3447152	3448198	+	ACL77183.1	Integrase catalytic region	Ccel_2889	1047	348
3506177	3506989	-	ACL77243.1	Integrase catalytic region	Ccel_2949	813	270
3514083	3515129	-	ACL77255.1	Integrase catalytic region	Ccel_2961	1047	348
3526664	3527710	-	ACL77266.1	Integrase catalytic region	Ccel_2972	1047	348
3530165	3531211	+	ACL77271.1	Integrase catalytic region	Ccel_2977	1047	348
77670	78827	+	ACL74455.1	integrase family protein	Ccel_0067	1158	385
78824	80209	+	ACL74456.1	integrase family protein	Ccel_0068	1386	461
80200	81753	+	ACL74457.1	integrase family protein	Ccel_0069	1554	517
940698	941834	+	ACL75198.1	integrase family protein	Ccel_0820	1137	378
1994805	1995797	+	ACL76005.1	integrase family protein	Ccel_1654	993	330
2199898	2201139	+	ACL76197.1	integrase family protein	Ccel_1849	1242	413
3280764	3281705	+	ACL77034.1	integrase family protein	Ccel_2723	942	313
3532674	3533597	-	ACL77275.1	integrase family protein	Ccel_2981	924	307
3860960	3862231	+	ACL77607.1	integrase family protein	Ccel_3318	1272	423
1660730	1661074	+	ACL75720.1	iojap-like protein	Ccel_1366	345	114
917921	918400	-	ACL75175.1	iron dependent repressor	Ccel_0797	480	159
1070633	1071832	+	ACL75266.1	iron-containing alcohol dehydrogenase	Ccel_0894	1200	399
1337137	1338282	+	ACL75442.1	iron-containing alcohol dehydrogenase	Ccel_1083	1146	381
3730187	3732790	-	ACL77488.1	iron-containing alcohol dehydrogenase	Ccel_3198	2604	867
3881990	3883165	-	ACL77626.1	iron-containing alcohol dehydrogenase	Ccel_3337	1176	391
2188634	2188990	+	ACL76183.1	IS66 Orf2 family protein	Ccel_1835	357	118
3160659	3161015	+	ACL76953.1	IS66 Orf2 family protein	Ccel_2626	357	118
3258592	3258948	+	ACL77017.1	IS66 Orf2 family protein	Ccel_2706	357	118
3524209	3524565	+	ACL77263.1	IS66 Orf2 family protein	Ccel_2969	357	118
3119908	3121038	-	ACL76914.1	isoaspartyl dipeptidase	Ccel_2586	1131	376
1334033	1334602	+	ACL75438.1	isochorismatase hydrolase	Ccel_1079	570	189
3101377	3102585	-	ACL76904.1	"isocitrate dehydrogenase, NADP-dependent"	Ccel_2576	1209	402
2205968	2208757	-	ACL76203.1	isoleucyl-tRNA synthetase	Ccel_1855	2790	929
3772001	3772606	+	ACL77523.1	Isoprenylcysteine carboxyl methyltransferase	Ccel_3233	606	201
43420	44433	-	ACL74429.1	IstB domain protein ATP-binding protein	Ccel_0041	1014	337
123349	124686	+	ACL74496.1	Kelch repeat protein	Ccel_0108	1338	445
1348153	1352826	+	ACL75456.1	Kelch repeat-containing protein	Ccel_1097	4674	1557
3999136	4000131	-	ACL77723.1	ketol-acid reductoisomerase	Ccel_3435	996	331
415648	416586	+	ACL74749.1	Ku protein	Ccel_0364	939	312
1285554	1286951	+	ACL75395.1	L-arabinose isomerase	Ccel_1033	1398	465
1729862	1730275	+	ACL75779.1	large conductance mechanosensitive channel protein	Ccel_1425	414	137
4047107	4048711	-	ACL77767.1	L-aspartate oxidase	Ccel_3479	1605	534
4018870	4021314	+	ACL77742.1	leucyl-tRNA synthetase	Ccel_3454	2445	814
4039098	4040579	-	ACL77757.1	L-fucose isomerase-like protein	Ccel_3469	1482	493
2377760	2378671	-	ACL76363.1	lipolytic protein G-D-S-L family	Ccel_2017	912	303
2533033	2534343	-	ACL76504.1	lipolytic protein G-D-S-L family	Ccel_2162	1311	436
2879578	2880513	-	ACL76728.1	lipolytic protein G-D-S-L family	Ccel_2395	936	311
3746702	3747394	-	ACL77500.1	lipolytic protein G-D-S-L family	Ccel_3210	693	230
704660	705151	+	ACL74990.1	lipoprotein signal peptidase	Ccel_0609	492	163
3584716	3585075	-	ACL77326.1	Lj965 prophage protein	Ccel_3034	360	119
3833150	3833509	-	ACL77570.1	Lj965 prophage protein	Ccel_3281	360	119
152422	153354	+	ACL74525.1	L-lactate dehydrogenase	Ccel_0137	933	310
3005093	3006043	+	ACL76813.1	L-lactate dehydrogenase	Ccel_2485	951	316
2102828	2104423	-	ACL76108.1	"L-lactate permease, putative"	Ccel_1757	1596	531
1717936	1718286	+	ACL75768.1	LrgA family protein	Ccel_1414	351	116
1718283	1718978	+	ACL75769.1	LrgB family protein	Ccel_1415	696	231
4036673	4037362	-	ACL77755.1	L-ribulose-5-phosphate 4-epimerase	Ccel_3467	690	229
1828956	1829570	+	ACL75859.1	LysM domain-containing protein	Ccel_1507	615	204
448698	450197	+	ACL74781.1	lysyl-tRNA synthetase	Ccel_0396	1500	499
936615	937322	-	ACL75193.1	Lytic transglycosylase catalytic	Ccel_0815	708	235
2431233	2431820	-	ACL76418.1	Lytic transglycosylase catalytic	Ccel_2073	588	195
3087008	3087589	-	ACL76893.1	maf protein	Ccel_2565	582	193
481847	483079	-	ACL74805.1	major facilitator superfamily MFS_1	Ccel_0422	1233	410
1054243	1055553	+	ACL75249.1	major facilitator superfamily MFS_1	Ccel_0877	1311	436
1085974	1087125	-	ACL75280.1	major facilitator superfamily MFS_1	Ccel_0908	1152	383
1273613	1275052	+	ACL75384.1	major facilitator superfamily MFS_1	Ccel_1022	1440	479
1376430	1377650	+	ACL75476.1	major facilitator superfamily MFS_1	Ccel_1118	1221	406
2005147	2006313	-	ACL76013.1	major facilitator superfamily MFS_1	Ccel_1662	1167	388
2445332	2446672	-	ACL76432.1	major facilitator superfamily MFS_1	Ccel_2087	1341	446
2878143	2879387	+	ACL76727.1	major facilitator superfamily MFS_1	Ccel_2394	1245	414
2947209	2948582	-	ACL76772.1	major facilitator superfamily MFS_1	Ccel_2443	1374	457
153543	154718	+	ACL74526.1	malic protein NAD-binding	Ccel_0138	1176	391
788271	789203	+	ACL75063.1	malonyl CoA-acyl carrier protein transacylase	Ccel_0683	933	310
2717898	2719127	-	ACL76664.1	malonyl CoA-acyl carrier protein transacylase	Ccel_2328	1230	409
2822047	2823318	-	ACL76713.1	malonyl CoA-acyl carrier protein transacylase	Ccel_2380	1272	423
794015	794686	-	ACL75070.1	manganese and iron superoxide dismutase	Ccel_0690	672	223
155053	156666	+	ACL74527.1	Mannitol dehydrogenase domain protein	Ccel_0139	1614	537
156692	157774	+	ACL74528.1	mannonate dehydratase	Ccel_0140	1083	360
2017063	2018109	-	ACL76025.1	mannonate dehydratase	Ccel_1674	1047	348
1443133	1444182	+	ACL75536.1	"mannose-6-phosphate isomerase, class I"	Ccel_1179	1050	349
1911003	1912640	+	ACL75914.1	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase	Ccel_1562	1638	545
506116	507456	+	ACL74823.1	MATE efflux family protein	Ccel_0441	1341	446
1074607	1075968	+	ACL75269.1	MATE efflux family protein	Ccel_0897	1362	453
2344037	2345404	+	ACL76329.1	MATE efflux family protein	Ccel_1981	1368	455
3926232	3927593	-	ACL77673.1	MATE efflux family protein	Ccel_3385	1362	453
3620416	3621210	-	ACL77378.1	MazG family protein	Ccel_3086	795	264
2075423	2076220	-	ACL76078.1	"MCP methyltransferase, CheR-type"	Ccel_1727	798	265
3421657	3422211	+	ACL77165.1	membrane associated protein	Ccel_2871	555	184
3422737	3423096	+	ACL77167.1	membrane protein of unknown function	Ccel_2873	360	119
513835	515121	+	ACL74832.1	membrane-associated zinc metalloprotease	Ccel_0450	1287	428
3715501	3716061	-	ACL77474.1	metal dependent phophohydrolase	Ccel_3184	561	186
216647	217933	-	ACL74581.1	metal dependent phosphohydrolase	Ccel_0194	1287	428
574444	575493	+	ACL74879.1	metal dependent phosphohydrolase	Ccel_0497	1050	349
666972	669209	+	ACL74956.1	metal dependent phosphohydrolase	Ccel_0575	2238	745
1629867	1630346	+	ACL75683.1	metal dependent phosphohydrolase	Ccel_1329	480	159
1659607	1660179	+	ACL75718.1	metal dependent phosphohydrolase	Ccel_1364	573	190
1722804	1723856	+	ACL75773.1	metal dependent phosphohydrolase	Ccel_1419	1053	350
1791651	1793837	+	ACL75830.1	metal dependent phosphohydrolase	Ccel_1476	2187	728
2157535	2158125	-	ACL76153.1	metal dependent phosphohydrolase	Ccel_1803	591	196
2243441	2244904	-	ACL76237.1	metal dependent phosphohydrolase	Ccel_1889	1464	487
2630992	2631540	-	ACL76593.1	metal dependent phosphohydrolase	Ccel_2252	549	182
479706	480701	+	ACL74803.1	metal-dependent protein hydrolase	Ccel_0419	996	331
935299	936327	+	ACL75192.1	"metalloendopeptidase, glycoprotease family"	Ccel_0814	1029	342
197310	198203	+	ACL74563.1	metalloenzyme domain protein	Ccel_0175	894	297
32453	33592	+	ACL74419.1	metallophosphoesterase	Ccel_0031	1140	379
701307	702101	+	ACL74987.1	metallophosphoesterase	Ccel_0606	795	264
867284	868240	-	ACL75122.1	metallophosphoesterase	Ccel_0744	957	318
928390	929091	+	ACL75186.1	metallophosphoesterase	Ccel_0808	702	233
1437797	1439734	+	ACL75531.1	metallophosphoesterase	Ccel_1174	1938	645
1721628	1722440	-	ACL75772.1	metallophosphoesterase	Ccel_1418	813	270
3067084	3068223	-	ACL76870.1	metallophosphoesterase	Ccel_2542	1140	379
905853	906620	+	ACL75158.1	"methionine aminopeptidase, type I"	Ccel_0780	768	255
3901903	3902715	+	ACL77651.1	"methionine aminopeptidase, type I"	Ccel_3362	813	270
3733177	3733815	+	ACL77489.1	Methionine synthase B12-binding module cap domain protein	Ccel_3199	639	212
1864301	1865239	+	ACL75881.1	methionyl-tRNA formyltransferase	Ccel_1529	939	312
1353277	1355241	+	ACL75457.1	methionyl-tRNA synthetase	Ccel_1098	1965	654
52670	54397	-	ACL74437.1	methyl-accepting chemotaxis sensory transducer	Ccel_0049	1728	575
248175	249629	+	ACL74606.1	methyl-accepting chemotaxis sensory transducer	Ccel_0219	1455	484
251067	252752	-	ACL74608.1	methyl-accepting chemotaxis sensory transducer	Ccel_0221	1686	561
325968	327662	-	ACL74674.1	methyl-accepting chemotaxis sensory transducer	Ccel_0287	1695	564
568831	570306	+	ACL74875.1	methyl-accepting chemotaxis sensory transducer	Ccel_0493	1476	491
572993	574237	+	ACL74878.1	methyl-accepting chemotaxis sensory transducer	Ccel_0496	1245	414
1681104	1682819	+	ACL75737.1	methyl-accepting chemotaxis sensory transducer	Ccel_1383	1716	571
2456773	2458803	-	ACL76445.1	methyl-accepting chemotaxis sensory transducer	Ccel_2100	2031	676
2551002	2552249	+	ACL76521.1	methyl-accepting chemotaxis sensory transducer	Ccel_2179	1248	415
2615770	2617800	-	ACL76579.1	methyl-accepting chemotaxis sensory transducer	Ccel_2237	2031	676
2694910	2696613	-	ACL76649.1	methyl-accepting chemotaxis sensory transducer	Ccel_2313	1704	567
3048264	3050306	-	ACL76854.1	methyl-accepting chemotaxis sensory transducer	Ccel_2526	2043	680
3175300	3176760	-	ACL76963.1	methyl-accepting chemotaxis sensory transducer	Ccel_2636	1461	486
3423278	3425593	-	ACL77168.1	methyl-accepting chemotaxis sensory transducer	Ccel_2874	2316	771
3442650	3444134	+	ACL77180.1	methyl-accepting chemotaxis sensory transducer	Ccel_2886	1485	494
3445528	3447012	+	ACL77182.1	methyl-accepting chemotaxis sensory transducer	Ccel_2888	1485	494
3762730	3764928	-	ACL77516.1	methyl-accepting chemotaxis sensory transducer	Ccel_3226	2199	732
3772899	3774935	+	ACL77524.1	methyl-accepting chemotaxis sensory transducer	Ccel_3234	2037	678
1346038	1346598	+	ACL75453.1	methyladenine glycosylase	Ccel_1094	561	186
1403479	1403982	+	ACL75497.1	methylated-DNA/protein-cysteine methyltransferase	Ccel_1140	504	167
2993218	2995065	-	ACL76802.1	methylenetetrahydrofolate reductase	Ccel_2474	1848	615
1692231	1692692	+	ACL75745.1	methylglyoxal synthase	Ccel_1391	462	153
2233327	2233890	-	ACL76229.1	methyltransferase	Ccel_1881	564	187
4061766	4062491	-	ACL77771.1	methyltransferase GidB	Ccel_3484	726	241
212178	212768	+	ACL74575.1	methyltransferase small	Ccel_0188	591	196
911830	912426	-	ACL75168.1	methyltransferase small	Ccel_0790	597	198
186078	186860	+	ACL74550.1	Methyltransferase type 11	Ccel_0162	783	260
247219	247857	+	ACL74605.1	Methyltransferase type 11	Ccel_0218	639	212
1141195	1141869	-	ACL75322.1	Methyltransferase type 11	Ccel_0960	675	224
1299598	1300284	+	ACL75406.1	Methyltransferase type 11	Ccel_1044	687	228
1412085	1412810	+	ACL75506.1	Methyltransferase type 11	Ccel_1149	726	241
3149437	3150285	+	ACL76943.1	Methyltransferase type 11	Ccel_2615	849	282
3356311	3357087	-	ACL77096.1	Methyltransferase type 11	Ccel_2801	777	258
3367457	3368197	-	ACL77104.1	Methyltransferase type 11	Ccel_2810	741	246
3985943	3986554	-	ACL77712.1	Methyltransferase type 11	Ccel_3424	612	203
1307928	1308725	+	ACL75412.1	Methyltransferase type 12	Ccel_1052	798	265
3457867	3458613	-	ACL77196.1	Methyltransferase type 12	Ccel_2902	747	248
2416753	2418282	-	ACL76404.1	"Mg chelatase, subunit ChlI"	Ccel_2058	1530	509
2364565	2365497	-	ACL76349.1	Mg2 transporter protein CorA family protein	Ccel_2001	933	310
3079106	3079498	-	ACL76884.1	MGS domain protein	Ccel_2556	393	130
336602	337297	+	ACL74680.1	MgtC/SapB transporter	Ccel_0293	696	231
783365	784705	+	ACL75058.1	MiaB-like tRNA modifying enzyme YliG	Ccel_0678	1341	446
3591434	3592015	-	ACL77337.1	minor structural GP20 protein	Ccel_3045	582	193
3839859	3840440	-	ACL77581.1	minor structural GP20 protein	Ccel_3292	582	193
916171	917475	-	ACL75174.1	"Mn2+/Fe2+ transporter, NRAMP family"	Ccel_0796	1305	434
3911404	3912261	-	ACL77662.1	"modification methylase, HemK family"	Ccel_3373	858	285
1939099	1939890	-	ACL75952.1	"molybdenum ABC transporter, periplasmic molybdate-binding protein"	Ccel_1600	792	263
1941462	1942448	-	ACL75956.1	molybdenum cofactor biosynthesis protein A	Ccel_1604	987	328
1940973	1941458	-	ACL75955.1	molybdenum cofactor biosynthesis protein C	Ccel_1603	486	161
1939919	1940404	-	ACL75953.1	molybdenum cofactor synthesis domain protein	Ccel_1601	486	161
1943047	1944255	-	ACL75958.1	molybdenum cofactor synthesis domain protein	Ccel_1606	1209	402
1969605	1972868	-	ACL75985.1	molybdopterin oxidoreductase	Ccel_1634	3264	1087
1937628	1938194	+	ACL75950.1	molybdopterin-guanine dinucleotide biosynthesis protein A	Ccel_1598	567	188
1942528	1943034	-	ACL75957.1	molybdopterin-guanine dinucleotide biosynthesis protein B	Ccel_1605	507	168
36592	37704	-	ACL74422.1	Monogalactosyldiacylglycerol synthase	Ccel_0034	1113	370
557333	558523	-	ACL74868.1	Monogalactosyldiacylglycerol synthase	Ccel_0486	1191	396
1940392	1940856	-	ACL75954.1	MOSC domain containing protein	Ccel_1602	465	154
293776	294576	-	ACL74651.1	MotA/TolQ/ExbB proton channel	Ccel_0264	801	266
544670	545101	+	ACL74857.1	MraZ protein	Ccel_0475	432	143
3897000	3897836	-	ACL77644.1	MscS Mechanosensitive ion channel	Ccel_3355	837	278
1782650	1785028	+	ACL75824.1	MutS2 family protein	Ccel_1470	2379	792
3753207	3753824	+	ACL77507.1	N-(5'phosphoribosyl)anthranilate isomerase (PRAI)	Ccel_3217	618	205
3010171	3015156	-	ACL76817.1	Na-Ca exchanger/integrin-beta4	Ccel_2489	4986	1661
3465879	3466820	+	ACL77204.1	N-acetyl-gamma-glutamyl-phosphate reductase	Ccel_2910	942	313
3374814	3375515	-	ACL77112.1	"N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD"	Ccel_2818	702	233
3553773	3554981	+	ACL77296.1	N-acylglucosamine 2-epimerase	Ccel_3002	1209	402
739192	739833	+	ACL75023.1	NAD(P)H dehydrogenase (quinone)	Ccel_0642	642	213
1466485	1468413	+	ACL75557.1	NAD+ synthetase	Ccel_1200	1929	642
2182144	2182887	-	ACL76176.1	NAD-dependent DNA ligase	Ccel_1827	744	247
777149	778156	-	ACL75053.1	NAD-dependent epimerase/dehydratase	Ccel_0673	1008	335
1160146	1161174	+	ACL75331.1	NAD-dependent epimerase/dehydratase	Ccel_0969	1029	342
1161983	1162912	+	ACL75333.1	NAD-dependent epimerase/dehydratase	Ccel_0971	930	309
1343601	1344614	+	ACL75450.1	NAD-dependent epimerase/dehydratase	Ccel_1091	1014	337
2170973	2172022	-	ACL76165.1	NAD-dependent epimerase/dehydratase	Ccel_1815	1050	349
3362308	3363261	-	ACL77100.1	NAD-dependent epimerase/dehydratase	Ccel_2806	954	317
4006639	4007571	+	ACL77730.1	NAD-dependent epimerase/dehydratase	Ccel_3442	933	310
4012835	4013887	-	ACL77736.1	NAD-dependent epimerase/dehydratase	Ccel_3448	1053	350
2495643	2496638	-	ACL76473.1	NAD-dependent glycerol-3-phosphate dehydrogenase domain protein	Ccel_2129	996	331
2689049	2689522	-	ACL76642.1	NADH dehydrogenase (ubiquinone) 24 kDa subunit	Ccel_2305	474	157
2030516	2032108	-	ACL76038.1	NADH dehydrogenase (ubiquinone) 30 kDa subunit	Ccel_1687	1593	530
3906080	3906460	-	ACL77657.1	NADH dehydrogenase (ubiquinone) 30 kDa subunit	Ccel_3368	381	126
2029692	2030492	-	ACL76037.1	NADH ubiquinone oxidoreductase 20 kDa subunit	Ccel_1686	801	266
3906492	3906941	-	ACL77658.1	NADH ubiquinone oxidoreductase 20 kDa subunit	Ccel_3369	450	149
2032112	2033599	-	ACL76039.1	NADH/Ubiquinone/plastoquinone (complex I)	Ccel_1688	1488	495
2035278	2037344	-	ACL76042.1	NADH/Ubiquinone/plastoquinone (complex I)	Ccel_1691	2067	688
3907868	3909853	-	ACL77660.1	NADH/Ubiquinone/plastoquinone (complex I)	Ccel_3371	1986	661
1365331	1366320	+	ACL75466.1	NADH:flavin oxidoreductase/NADH oxidase	Ccel_1107	990	329
2615082	2615573	-	ACL76578.1	"NADH-quinone oxidoreductase, E subunit"	Ccel_2236	492	163
3905001	3906080	-	ACL77656.1	NADH-ubiquinone oxidoreductase chain 49kDa	Ccel_3367	1080	359
214731	215426	+	ACL74579.1	NADPH-dependent FMN reductase	Ccel_0192	696	231
634954	635553	+	ACL74931.1	NADPH-dependent FMN reductase	Ccel_0549	600	199
3087872	3088486	+	ACL76894.1	Negative regulator of genetic competence	Ccel_2566	615	204
1325559	1326971	+	ACL75430.1	nickel-dependent hydrogenase large subunit	Ccel_1071	1413	470
1658981	1659595	+	ACL75717.1	nicotinate (nicotinamide) nucleotide adenylyltransferase	Ccel_1363	615	204
3538902	3540341	-	ACL77281.1	nicotinate phosphoribosyltransferase	Ccel_2987	1440	479
4046259	4047095	-	ACL77766.1	nicotinate-nucleotide pyrophosphorylase	Ccel_3478	837	278
743113	744171	+	ACL75027.1	nicotinate-nucleotide/dimethylbenzimidazole phosphoribosyltransferase	Ccel_0646	1059	352
1938227	1939063	-	ACL75951.1	NifC-like ABC-type porter	Ccel_1599	837	278
1953174	1954004	-	ACL75968.1	NifH/frxC-family protein	Ccel_1616	831	276
373484	374176	+	ACL74709.1	NifU-like domain-containing protein	Ccel_0322	693	230
2068717	2069520	-	ACL76072.1	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase	Ccel_1721	804	267
1312646	1313224	+	ACL75415.1	nitroreductase	Ccel_1055	579	192
3017769	3018368	+	ACL76822.1	nitroreductase	Ccel_2494	600	199
3989337	3989978	+	ACL77715.1	nitroreductase	Ccel_3427	642	213
35660	36586	+	ACL74421.1	NLP/P60 protein	Ccel_0033	927	308
872593	873489	+	ACL75125.1	NLP/P60 protein	Ccel_0747	897	298
1993020	1993556	-	ACL76003.1	NLP/P60 protein	Ccel_1652	537	178
2316649	2317539	-	ACL76304.1	NLP/P60 protein	Ccel_1956	891	296
2494840	2495547	+	ACL76472.1	NLP/P60 protein	Ccel_2128	708	235
3310855	3311991	-	ACL77055.1	NLP/P60 protein	Ccel_2749	1137	378
3499733	3500530	+	ACL77234.1	NLP/P60 protein	Ccel_2940	798	265
3865901	3866734	-	ACL77612.1	NLP/P60 protein	Ccel_3323	834	277
1651701	1652294	+	ACL75707.1	"non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family"	Ccel_1353	594	197
55929	57095	+	ACL74439.1	"nuclease SbcCD, D subunit"	Ccel_0051	1167	388
822418	822651	+	ACL75090.1	nucleic acid binding protein	Ccel_0711	234	77
188368	188955	+	ACL74553.1	nucleoside recognition domain protein	Ccel_0165	588	195
188971	189501	+	ACL74554.1	nucleoside recognition domain protein	Ccel_0166	531	176
3363410	3364696	+	ACL77101.1	nucleotide sugar dehydrogenase	Ccel_2807	1287	428
3487440	3488714	+	ACL77223.1	nucleotide sugar dehydrogenase	Ccel_2929	1275	424
401494	403926	-	ACL74734.1	Nucleotidyl transferase	Ccel_0348	2433	810
1161212	1161946	+	ACL75332.1	Nucleotidyl transferase	Ccel_0970	735	244
2289688	2292144	-	ACL76288.1	Nucleotidyl transferase	Ccel_1940	2457	818
4016849	4017922	-	ACL77740.1	Nucleotidyl transferase	Ccel_3452	1074	357
203169	203582	+	ACL74567.1	NUDIX hydrolase	Ccel_0179	414	137
259824	260300	+	ACL74617.1	NUDIX hydrolase	Ccel_0230	477	158
2099526	2100068	-	ACL76104.1	NUDIX hydrolase	Ccel_1753	543	180
3496268	3497110	+	ACL77231.1	NUDIX hydrolase	Ccel_2937	843	280
3612856	3613389	-	ACL77365.1	NUMOD4 domain protein	Ccel_3073	534	177
521381	522529	+	ACL74836.1	NusA antitermination factor	Ccel_0454	1149	382
2262015	2262452	-	ACL76253.1	NusB antitermination factor	Ccel_1905	438	145
230494	231060	+	ACL74591.1	NusG antitermination factor	Ccel_0204	567	188
354189	354707	+	ACL74694.1	NusG antitermination factor	Ccel_0307	519	172
967741	968262	+	ACL75223.1	NusG antitermination factor	Ccel_0849	522	173
1974038	1974295	-	ACL75987.1	NusG antitermination factor	Ccel_1636	258	85
2322311	2323579	+	ACL76310.1	O-acetylhomoserine/O-acetylserine sulfhydrylase	Ccel_1962	1269	422
3875484	3876764	-	ACL77621.1	O-acetylhomoserine/O-acetylserine sulfhydrylase	Ccel_3332	1281	426
3491121	3492497	+	ACL77227.1	O-antigen polymerase	Ccel_2933	1377	458
1904156	1905289	+	ACL75906.1	OB-fold nucleic acid binding domain-containing protein	Ccel_1554	1134	377
4028225	4030030	-	ACL77748.1	oligoendopeptidase F	Ccel_3460	1806	601
817223	818875	-	ACL75085.1	"oligopeptide transporters, OPT superfamily"	Ccel_0706	1653	550
48051	49049	-	ACL74433.1	"oligopeptide/dipeptide ABC transporter, ATPase subunit"	Ccel_0045	999	332
49039	50049	-	ACL74434.1	"oligopeptide/dipeptide ABC transporter, ATPase subunit"	Ccel_0046	1011	336
2111369	2112334	-	ACL76115.1	"oligopeptide/dipeptide ABC transporter, ATPase subunit"	Ccel_1764	966	321
2112331	2113308	-	ACL76116.1	"oligopeptide/dipeptide ABC transporter, ATPase subunit"	Ccel_1765	978	325
1788487	1789128	+	ACL75827.1	O-methyltransferase family 3	Ccel_1473	642	213
292994	293773	-	ACL74650.1	OmpA/MotB domain protein	Ccel_0263	780	259
3725493	3726578	-	ACL77485.1	OmpA/MotB domain-containing protein	Ccel_3195	1086	361
3033258	3034508	-	ACL76839.1	Orn/DAP/Arg decarboxylase 2	Ccel_2511	1251	416
3809284	3810531	-	ACL77544.1	Orn/DAP/Arg decarboxylase 2	Ccel_3255	1248	415
180862	182319	+	ACL74543.1	Orn/Lys/Arg decarboxylase major region	Ccel_0155	1458	485
484709	486175	-	ACL74808.1	Orn/Lys/Arg decarboxylase major region	Ccel_0425	1467	488
3473565	3474482	+	ACL77209.1	ornithine carbamoyltransferase	Ccel_2915	918	305
709167	710105	+	ACL74995.1	orotidine 5'-phosphate decarboxylase	Ccel_0614	939	312
3938384	3939628	-	ACL77684.1	Outer membrane protein-like protein	Ccel_3396	1245	414
1383418	1384383	+	ACL75483.1	oxidoreductase domain protein	Ccel_1125	966	321
714477	715253	+	ACL74998.1	oxidoreductase FAD/NAD(P)-binding domain protein	Ccel_0617	777	258
3071360	3072205	-	ACL76874.1	oxidoreductase FAD/NAD(P)-binding domain protein	Ccel_2546	846	281
1950535	1951812	-	ACL75966.1	oxidoreductase/nitrogenase component 1	Ccel_1614	1278	425
1951817	1953163	-	ACL75967.1	oxidoreductase/nitrogenase component 1	Ccel_1615	1347	448
2342792	2343934	-	ACL76328.1	oxygen-independent coproporphyrinogen III oxidase	Ccel_1980	1143	380
